Symbol,Current Price,Timeframe,granularity,% of ATH,TV 1h Recommendation,TV 1d Recommendation
REN-USD,0.5572,2020-10-06 - 2021-12-12,86400,30%,SELL,SELL
DDX-USD,4.55,2021-09-01 - 2021-12-12,86400,31%,SELL,SELL
IOTX-USD,0.15516,2021-08-12 - 2021-12-12,86400,31%,SELL,SELL
OMG-USD,6.29,2020-05-19 - 2021-12-12,86400,31%,SELL,SELL
REP-USD,18.21,2019-04-09 - 2021-12-12,86400,31%,SELL,SELL
TRU-USD,0.2838,2021-08-12 - 2021-12-12,86400,31%,SELL,SELL
AGLD-USD,1.65,2021-09-21 - 2021-12-12,86400,32%,SELL,SELL
KNC-USD,1.3777,2020-02-25 - 2021-12-12,86400,32%,SELL,SELL
NU-USD,0.7428,2020-12-02 - 2021-12-12,86400,32%,NEUTRAL,NEUTRAL
BOND-USD,17.68,2021-06-24 - 2021-12-12,86400,34%,SELL,SELL
CGLD-USD,3.75,2020-09-01 - 2021-12-12,86400,34%,SELL,SELL
COTI-USD,0.3135,2021-08-26 - 2021-12-12,86400,34%,SELL,SELL
DOGE-USD,0.1677,2021-06-03 - 2021-12-12,86400,34%,SELL,SELL
MLN-USD,83.53,2021-06-10 - 2021-12-12,86400,34%,SELL,SELL
SUKU-USD,0.5317,2021-11-02 - 2021-12-12,86400,34%,SELL,SELL
XLM-USD,0.27025,2019-03-14 - 2021-12-12,86400,34%,SELL,SELL
CHZ-USD,0.2959,2021-06-17 - 2021-12-12,86400,35%,SELL,SELL
NMR-USD,33.87,2020-08-18 - 2021-12-12,86400,35%,SELL,SELL
UNI-USD,15.61,2020-09-17 - 2021-12-12,86400,35%,SELL,SELL
